Date,img_path,0,1,2,3,4
2023-02-11,2302_spirit_of_tasmania.jpg,#c8cfd7,#a5abb4,#868b95,#706267,#4c3b3f
2023-02-26,purple_head.jpg,#c9c2b4,#ac999b,#8f7a83,#756165,#472e1c
2023-02-26,uncle_e.jpg,#b2c1e0,#98a3c2,#697695,#353d35,#12170e
2023-03-17,4561_2023_7e4c61a426.jpg,#dad4e0,#b98db1,#95678a,#433e44,#121419
2023-03-17,230317_yellow_and_blue.jpg,#bdc6dd,#a4a6ab,#7a7d99,#515068,#1d202a
2023-03-20,230320mouse-in-a-hat.jpg,#d6d5d1,#ceba7e,#b7b7b8,#7c736f,#332b2a
2023-06-09,230610-petronas.jpeg,#ccd0d6,#aeb1b5,#8d8f94,#626365,#373837
2023-06-10,230613-ipoh-train-station.jpeg,#cecfce,#b9b9aa,#929181,#686a54,#1d2116
2023-06-11,230612-ipoh-shopping.jpeg,#d5d1c4,#baac9b,#988d81,#706962,#423a39
2023-06-11,230611-ipoh_coffee.jpeg,#d3d0c4,#bdafa4,#95867f,#6a5d50,#3c2c1b
2023-06-13,230613-ipoh-french-patisserie.jpeg,#cbd1db,#a9aaa2,#868377,#635d52,#1a2013
2023-06-14,230614-the-alley.jpeg,#abc4e5,#8c9db5,#6b788f,#4c5368,#2a262e
2023-06-19,230619-penang-breakfast.jpeg,#cdcbc3,#a69f9d,#ae905d,#7a6e68,#55473a
2023-06-20,230620-escaping-the-heat.jpeg,#d5d4cb,#b4aea1,#958d80,#776b5a,#463923
2023-06-21,230621-penang-town-hall.jpeg,#a5beda,#93a7bb,#828c81,#5a6362,#25282a
2023-06-22,230623-the-hotel.jpeg,#d4d4d2,#aaa99d,#8b887a,#696459,#2f2d2d
2023-06-23,230622-langkawi-umbrella.jpeg,#ccccce,#adafa1,#8b8877,#665b4a,#402c21
2023-06-24,230624-langkawi-bay.jpeg,#d0d0cc,#b7b3aa,#938f6f,#70613f,#49381c
2023-07-01,230701-kuala-lumpur-last-day.jpeg,#d9dad3,#adb0ad,#898a7a,#5f6054,#282321
2023-08-02,bluemouse.jpeg,#d7d1c3,#a2a3a2,#506572,#6a5841,#30312e
2023-08-13,marketsagain.jpeg,#c6c9c9,#a9a8a3,#92836f,#745b43,#3f2b19
2023-09-24,finallysunny.jpeg,#d5d8d6,#a6aaae,#777c83,#504e4a,#0d0f11
2023-09-25,atasting.jpeg,#d8c5a5,#ac9d89,#82776a,#4e473d,#1a140c
2023-10-04,dodge.jpeg,#93b6df,#7894a9,#707a72,#3b5e8c,#1e304b
2023-10-06,231006-mcdonalds-flinders.jpeg,#d5d7d5,#b0b0ae,#89888a,#5b5a5b,#13151b
2023-10-08,231008_streetball.jpeg,#98b7e1,#7c96b9,#5e708a,#434e5f,#141c2b
2023-10-13,bendigotown.jpeg,#d0d8dd,#afb3a5,#888c7a,#5e5f57,#2e2e2e
2023-10-24,couplemoreinktobers.jpeg,#c1c4c5,#a7a49f,#8d8982,#696764,#3e3d39
2023-10-25,dagger.jpeg,#b7c1cb,#9ea47c,#8b99a6,#6a6b73,#3f4349
